City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,chonchi,-42.6128,-73.8092,287.71,93,96,0.9,CL,1707197560
156,camalu,30.85,-116.0667,287.4,83,100,5.78,MX,1707197560
157,nelson bay,-32.7167,152.15,294.88,98,85,5.81,AU,1707197560
158,timmins,48.4669,-81.3331,270.05,93,100,2.57,CA,1707197357
159,fauske,67.2588,15.3918,267.17,82,95,3.18,NO,1707197561
160,tongliao,43.6125,122.2653,265.94,60,98,1.63,CN,1707197561
161,kadnikov,59.5022,40.338,254.72,99,100,1.82,RU,1707197562
162,boguchany,58.3814,97.4531,267.51,91,98,1.79,RU,1707197562
163,kodiak,57.79,-152.4072,273.88,80,0,2.06,US,1707197562
164,cidreira,-30.1811,-50.2056,296.81,90,98,4.23,BR,1707197563
165,hincesti,46.8258,28.5936,279.91,67,95,5.6,MD,1707197563
166,abu jibeha,11.4562,31.2285,294.18,16,18,6.47,SD,1707197563
167,petropavlovsk-kamchatsky,53.0452,158.6483,268.48,74,75,2.68,RU,1707197564
168,ilha de mocambique,-15.0342,40.7358,301.34,79,93,4.32,MZ,1707197564
169,mejit,10.2753,170.8646,300.02,82,57,8.11,MH,1707197565
170,demba,-5.51,22.2667,293.73,96,100,0.83,CD,1707197565
171,mhamid,29.82,-5.72,281.7,46,18,2.3,MA,1707197565
172,usogorsk,63.4106,48.6872,252.96,97,100,1.61,RU,1707197566
173,cill airne,52.05,-9.5167,284.47,92,94,5.84,IE,1707197566
174,labytnangi,66.6572,66.4183,253.79,98,100,6.04,RU,1707197566
175,fale old settlement,-9.3852,-171.2468,301.52,82,100,15.45,TK,1707197567
176,jagna,9.6531,124.3697,301.09,74,90,4.71,PH,1707197567
177,pisco,-13.7,-76.2167,297.18,88,100,5.66,PE,1707197567
178,new norfolk,-42.7826,147.0587,294.22,33,80,4.04,AU,1707197568
179,ballina,-28.8667,153.5667,306.36,67,27,6.44,AU,1707197568
180,akureyri,65.6835,-18.0878,262.11,73,100,1.54,IS,1707197569
181,ha'il,27.5219,41.6907,277.16,65,0,2.06,SA,1707197569
182,christchurch,-43.5333,172.6333,301.23,39,98,2.57,NZ,1707197367
183,naze,28.3667,129.4833,290.66,64,40,5.29,JP,1707197372
184,vila franca do campo,37.7167,-25.4333,291.42,99,99,3.38,PT,1707197570
185,urangan,-25.3,152.9,305.48,66,9,2.68,AU,1707197570
186,zagon,45.7667,26.1167,281.59,92,100,3.45,RO,1707197571
187,papao,-17.75,-149.55,300.97,86,100,12.76,PF,1707197571
188,maumere,-8.6199,122.2111,300.92,79,91,1.98,ID,1707197572
189,gebeit,21.0667,36.3167,287.51,63,85,2.54,SD,1707197572
190,ornskoldsvik,63.2909,18.7153,262.68,92,0,2.57,SE,1707197572
191,sisimiut,66.9395,-53.6735,256.18,70,76,7.02,GL,1707197572
192,puerto colombia,10.9878,-74.9547,297.2,85,33,2.9,CO,1707197573
193,eyl,7.9803,49.8164,301.1,56,50,6.47,SO,1707197573
194,mezhdurechenskiy,59.6,65.9333,269.49,93,89,3.38,RU,1707197574
195,dudinka,69.4058,86.1778,244.64,98,41,1.79,RU,1707197574
196,erenhot,43.6475,111.9767,262.45,72,19,3.07,CN,1707197574
197,san juan de miraflores,-12.1629,-76.9635,297.44,83,27,1.88,PE,1707197575
198,weno,7.4515,151.8468,303.12,62,75,6.17,FM,1707197575
199,yarmouth,41.7057,-70.2286,274.41,72,100,11.62,US,1707197574
200,kavalerovo,44.2661,135.0572,271.79,58,90,2.68,RU,1707197323
201,cascais,38.6979,-9.4215,287.32,92,100,3.13,PT,1707197576
202,ostersund,63.1792,14.6357,264.4,92,100,1.54,SE,1707197576
203,sao felix do xingu,-6.6447,-51.995,295.2,98,100,0.24,BR,1707197577
204,mar del plata,-38.0023,-57.5575,294.23,89,0,6.71,AR,1707197402
205,imbituba,-28.24,-48.6703,299.18,91,100,0.86,BR,1707197577
206,saint-pierre,-21.3393,55.4781,300.97,57,0,1.54,RE,1707197578
207,sitka,57.0531,-135.33,275.09,87,75,2.06,US,1707197578
208,mariental,-24.6333,17.9667,300.77,21,29,5.93,NA,1707197578
209,sirte,31.2089,16.5887,287.51,64,0,3.78,LY,1707197579
210,hadibu,12.65,54.0333,299.19,65,11,4.11,YE,1707197579
211,karaton,-6.3424,106.1045,297.37,95,100,2.58,ID,1707197579
212,totness,5.8833,-56.3167,299.05,86,82,6.0,SR,1707197579
213,port elizabeth,-33.918,25.5701,296.54,91,75,1.03,ZA,1707197491
214,nar'yan-mar,67.6713,53.087,254.32,97,99,1.79,RU,1707197580
215,thanh hoa,19.8,105.7667,299.14,74,99,3.53,VN,1707197580
216,taroa,8.7058,171.2275,300.49,77,99,6.67,MH,1707197581
217,alice springs,-23.7,133.8833,308.27,21,0,6.17,AU,1707197581
218,crane,31.3974,-102.3501,283.47,52,46,3.6,US,1707197581
219,smithers,54.7804,-127.1743,268.33,86,100,0.0,CA,1707197415
220,la paz,-16.5,-68.15,280.69,81,100,3.09,BO,1707197405
221,sodankyla,67.4167,26.6,244.04,100,100,0.39,FI,1707197582
222,vernon,50.2581,-119.2691,274.89,87,100,0.0,CA,1707197571
223,gomez farias,23.05,-99.15,287.0,41,0,1.91,MX,1707197583
224,kawambwa,-9.7915,29.0791,291.14,97,100,0.85,ZM,1707197583
225,san,13.3034,-4.8956,293.41,16,0,4.09,ML,1707197400
226,vorgashor,67.5833,63.95,255.59,89,90,3.21,RU,1707197584
227,saldanha,-33.0117,17.9442,293.18,92,60,2.75,ZA,1707197584
228,port hedland,-20.3167,118.5667,306.18,62,63,6.17,AU,1707197584
229,zinjibar,13.1287,45.3807,298.9,70,4,1.96,YE,1707197585
230,east london,-33.0153,27.9116,295.67,94,100,1.03,ZA,1707197585
231,saint-paul,-21.0096,55.2707,301.21,69,90,1.68,RE,1707197585
232,zapolyarnyy,69.4154,30.8136,251.75,99,100,2.72,RU,1707197586
233,al mijlad,11.0333,27.7333,292.08,14,28,9.22,SD,1707197586
234,port lincoln,-34.7333,135.8667,292.88,51,0,6.24,AU,1707197586
235,scottburgh,-30.2867,30.7532,297.64,81,11,3.43,ZA,1707197587
236,guerrero negro,27.9769,-114.0611,289.45,70,62,2.55,MX,1707197587
237,george town,5.4112,100.3354,304.11,74,20,4.63,MY,1707197587
238,porto belo,-27.1578,-48.5531,298.8,99,65,2.08,BR,1707197587
239,andapa,-14.65,49.65,296.97,93,100,0.42,MG,1707197588
240,badger,64.8,-147.5333,248.15,78,40,2.57,US,1707197588
241,tamanrasset,22.785,5.5228,282.1,29,0,7.72,DZ,1707197588
242,tralee,52.2704,-9.7026,284.13,93,96,5.61,IE,1707197589
243,haiku-pauwela,20.9219,-156.3051,295.4,72,20,8.75,US,1707197589
244,dolinsk,47.35,142.8,266.33,83,36,0.6,RU,1707197589
245,sechura,-5.5569,-80.8222,299.0,80,82,4.73,PE,1707197589
246,wildwood,38.5828,-90.6629,278.9,64,72,1.64,US,1707197590
247,saipan,15.1355,145.701,302.54,61,75,6.17,MP,1707197590
248,alness,57.696,-4.2551,276.96,86,92,7.86,GB,1707197591
249,chhutmalpur,30.0314,77.7525,288.77,40,0,2.87,IN,1707197591
250,uturoa,-16.7333,-151.4333,301.41,83,100,9.46,PF,1707197591
251,loralai,30.3705,68.598,281.6,47,5,2.05,PK,1707197592
252,camiri,-20.05,-63.5167,293.69,80,38,0.59,BO,1707197592
253,tazacorte,28.629,-17.9293,292.68,23,0,3.6,ES,1707197593
254,kone,-21.0595,164.8658,299.47,89,100,2.47,NC,1707197593
255,gao,16.6362,1.637,286.93,21,83,6.35,ML,1707197593
256,petauke,-14.2426,31.3253,294.81,88,99,2.03,ZM,1707197594
257,alamogordo,32.8995,-105.9603,283.71,37,0,0.0,US,1707197594
258,inarajan village,13.2736,144.7484,302.69,75,65,7.49,GU,1707197594
259,pemangkat,1.1667,108.9667,301.42,77,95,3.52,ID,1707197595
260,libenge,3.65,18.6333,296.26,44,35,1.22,CD,1707197595
261,newman,37.3138,-121.0208,284.28,92,99,1.76,US,1707197596
262,sandnessjoen,66.0217,12.6316,269.21,80,40,3.09,NO,1707197596
263,ajaccio,42.0,8.9167,283.54,63,40,2.57,FR,1707197332
264,extrema,-22.8547,-46.3183,289.89,94,78,1.69,BR,1707197597
265,kuala terengganu,5.3302,103.1408,304.12,70,20,3.13,MY,1707197597
266,kill devil hills,36.0307,-75.676,280.36,80,0,6.69,US,1707197598
267,mount gambier,-37.8333,140.7667,293.35,45,0,4.72,AU,1707197598
268,picos,-7.0769,-41.4669,298.16,47,83,1.28,BR,1707197598
269,ciudad serdan,18.9833,-97.45,279.55,39,6,2.75,MX,1707197599
270,touros,-5.1989,-35.4608,299.65,80,77,4.24,BR,1707197599
271,zouerate,22.7187,-12.4521,286.89,19,34,4.25,MR,1707197599
272,nemuro,43.3236,145.575,267.12,64,36,4.6,JP,1707197600
273,st. john's,47.5649,-52.7093,274.97,97,100,9.26,CA,1707197588
274,yuanping,38.7153,112.7575,273.35,41,8,2.55,CN,1707197601
275,sinabang,2.4803,96.3801,302.78,69,86,2.18,ID,1707197601
276,jiangyou,31.7667,104.7167,282.68,55,96,1.71,CN,1707197601
277,mount darwin,-16.7725,31.5838,296.85,79,4,0.24,ZW,1707197601
278,norwell,42.1618,-70.7939,274.44,69,100,5.66,US,1707197602
279,paita,-5.0892,-81.1144,297.72,89,71,3.96,PE,1707197602
280,tete,-16.1564,33.5867,300.2,83,75,0.0,MZ,1707197602
281,timbuktu,16.7735,-3.0074,289.0,17,0,5.48,ML,1707197603
282,quelimane,-17.8786,36.8883,301.12,89,40,0.0,MZ,1707197603
283,atibaia,-23.131,-46.589,295.1,93,62,0.82,BR,1707197603
284,trairi,-3.2778,-39.2689,299.96,81,83,4.18,BR,1707197445
285,tome acu,-2.4189,-48.1522,295.78,99,56,1.15,BR,1707197604
286,bowie,33.4501,-94.4335,283.2,74,0,1.99,US,1707197604
287,rio san juan,19.6439,-70.0763,296.15,89,51,3.37,DO,1707197605
288,zakrzow,49.8256,19.6497,281.08,73,88,6.78,PL,1707197605
289,machico,32.7,-16.7667,291.5,63,20,4.12,PT,1707197605
290,utrik,11.2278,169.8474,299.65,84,32,8.63,MH,1707197606
291,galliano,29.4422,-90.2992,282.59,88,75,2.94,US,1707197606
292,lusambo,-4.9667,23.45,294.63,99,100,0.74,CD,1707197606
293,mesyagutovo,55.5303,58.2528,266.14,89,100,1.43,RU,1707197607
294,nizhniy odes,63.6445,54.856,255.54,96,100,2.33,RU,1707197607
295,al kharj,24.155,47.3346,285.47,33,98,2.28,SA,1707197607
